School,Short,Nickname,Current Division,Current Conference,Color 1,Color 2,Color Default,Latitude,Longitude,1936,X 1936,Conference 1936,W 1936,L 1936,T 1936,1937,X 1937,Conference 1937,W 1937,L 1937,T 1937,1938,X 1938,Conference 1938,W 1938,L 1938,T 1938,1939,X 1939,Conference 1939,W 1939,L 1939,T 1939,1940,X 1940,Conference 1940,W 1940,L 1940,T 1940,1941,X 1941,Conference 1941,W 1941,L 1941,T 1941,1942,X 1942,Conference 1942,W 1942,L 1942,T 1942,1943,X 1943,Conference 1943,W 1943,L 1943,T 1943,1944,X 1944,Conference 1944,W 1944,L 1944,T 1944,1945,X 1945,Conference 1945,W 1945,L 1945,T 1945,1946,X 1946,Conference 1946,W 1946,L 1946,T 1946,1947,X 1947,Conference 1947,W 1947,L 1947,T 1947,1948,X 1948,Conference 1948,W 1948,L 1948,T 1948,1949,X 1949,Conference 1949,W 1949,L 1949,T 1949,1950,X 1950,Conference 1950,W 1950,L 1950,T 1950,1951,X 1951,Conference 1951,W 1951,L 1951,T 1951,1952,X 1952,Conference 1952,W 1952,L 1952,T 1952,1953,X 1953,Conference 1953,W 1953,L 1953,T 1953,1954,X 1954,Conference 1954,W 1954,L 1954,T 1954,1955,X 1955,Conference 1955,W 1955,L 1955,T 1955,1956,X 1956,Conference 1956,W 1956,L 1956,T 1956,1957,X 1957,Conference 1957,W 1957,L 1957,T 1957,1958,X 1958,Conference 1958,W 1958,L 1958,T 1958,1959,X 1959,Conference 1959,W 1959,L 1959,T 1959,1960,X 1960,Conference 1960,W 1960,L 1960,T 1960,1961,X 1961,Conference 1961,W 1961,L 1961,T 1961,1962,X 1962,Conference 1962,W 1962,L 1962,T 1962,1963,X 1963,Conference 1963,W 1963,L 1963,T 1963,1964,X 1964,Conference 1964,W 1964,L 1964,T 1964,1965,X 1965,Conference 1965,W 1965,L 1965,T 1965,1966,X 1966,Conference 1966,W 1966,L 1966,T 1966,1967,X 1967,Conference 1967,W 1967,L 1967,T 1967,1968,X 1968,Conference 1968,W 1968,L 1968,T 1968,1969,X 1969,Conference 1969,W 1969,L 1969,T 1969,1970,X 1970,Conference 1970,W 1970,L 1970,T 1970,1971,X 1971,Conference 1971,W 1971,L 1971,T 1971,1972,X 1972,Conference 1972,W 1972,L 1972,T 1972,1973,X 1973,Conference 1973,W 1973,L 1973,T 1973,1974,X 1974,Conference 1974,W 1974,L 1974,T 1974,1975,X 1975,Conference 1975,W 1975,L 1975,T 1975,1976,X 1976,Conference 1976,W 1976,L 1976,T 1976,1977,X 1977,Conference 1977,W 1977,L 1977,T 1977,1978,X 1978,Conference 1978,W 1978,L 1978,T 1978,1979,X 1979,Conference 1979,W 1979,L 1979,T 1979,1980,X 1980,Conference 1980,W 1980,L 1980,T 1980,1981,X 1981,Conference 1981,W 1981,L 1981,T 1981,1982,X 1982,Conference 1982,W 1982,L 1982,T 1982,1983,X 1983,Conference 1983,W 1983,L 1983,T 1983,1984,X 1984,Conference 1984,W 1984,L 1984,T 1984,1985,X 1985,Conference 1985,W 1985,L 1985,T 1985,1986,X 1986,Conference 1986,W 1986,L 1986,T 1986,1987,X 1987,Conference 1987,W 1987,L 1987,T 1987,1988,X 1988,Conference 1988,W 1988,L 1988,T 1988,1989,X 1989,Conference 1989,W 1989,L 1989,T 1989,1990,X 1990,Conference 1990,W 1990,L 1990,T 1990,1991,X 1991,Conference 1991,W 1991,L 1991,T 1991,1992,X 1992,Conference 1992,W 1992,L 1992,T 1992,1993,X 1993,Conference 1993,W 1993,L 1993,T 1993,1994,X 1994,Conference 1994,W 1994,L 1994,T 1994,1995,X 1995,Conference 1995,W 1995,L 1995,T 1995,1996,X 1996,Conference 1996,W 1996,L 1996,T 1996,1997,X 1997,Conference 1997,W 1997,L 1997,T 1997,1998,X 1998,Conference 1998,W 1998,L 1998,T 1998,1999,X 1999,Conference 1999,W 1999,L 1999,T 1999,2000,X 2000,Conference 2000,W 2000,L 2000,T 2000,2001,X 2001,Conference 2001,W 2001,L 2001,T 2001,2002,X 2002,Conference 2002,W 2002,L 2002,T 2002,2003,X 2003,Conference 2003,W 2003,L 2003,T 2003,2004,X 2004,Conference 2004,W 2004,L 2004,T 2004,2005,X 2005,Conference 2005,W 2005,L 2005,T 2005,2006,X 2006,Conference 2006,W 2006,L 2006,T 2006,2007,X 2007,Conference 2007,W 2007,L 2007,T 2007,2008,X 2008,Conference 2008,W 2008,L 2008,T 2008,2009,X 2009,Conference 2009,W 2009,L 2009,T 2009,2010,X 2010,Conference 2010,W 2010,L 2010,T 2010,2011,X 2011,Conference 2011,W 2011,L 2011,T 2011,2012,X 2012,Conference 2012,W 2012,L 2012,T 2012
Alabama,BAMA,Crimson Tide,I-FBS,SEC,#A32638,#FFFFFF,FALSE,33.208,-87.55,4,4,SEC,8,0,1,4,4,,,,,13,13,,,,,,,,,,,,,,,,,20,20,,,,,10,10,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,16,16,,,,,,,,,,,9,9,,,,,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,9,9,,,,,1,1,,,,,5,5,,,,,8,8,,,,,1,1,,,,,1,1,,,,,3,3,,,,,8,8,,,,,17,17,,,,,,,,,,,,,,,,,4,4,,,,,7,7,,,,,4,4,,,,,5,5,,,,,3,3,,,,,11,11,,,,,2,2,,,,,1,1,,,,,1,1,,,,,6,6,,,,,7,7,,,,,,,,,,,15,15,,,,,,,,,,,13,13,,,,,9,9,,,,,,,,,,,17,17,,,,,9,9,,,,,,,,,,,5,5,,,,,1,1,,,,,14,14,,,,,5,5,,,,,21,21,,,,,11,11,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,11,11,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,6,6,,,,,1,1,,,,,10,10,SEC,10,3,,1,1,SEC,12,1,,1,1,SEC,13,1,
Oregon,UO,Ducks,I-FBS,Pac-12,#004F27,#FFCC00,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,,,,,18,18,,,,,,,,,,,,,,,,,,,,,,,19,19,,,,,7,7,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,12,13,,,,,,,,,,,23,23,,,,,10,10,,,,,11,11,,,,,3,3,Pac-10,12,1,,4,4,Pac-12,12,2,,2,2,Pac-12,12,1,
Ohio State,OSU,Buckeyes,I-FBS,Big Ten,#C80E11,#B1B9BB,FALSE,,,,,,,,,13,13,,,,,,,,,,,15,15,,,,,,,,,,,13,13,,,,,1,1,,,,,,,,,,,2,2,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,14,14,,,,,,,,,,,17,17,,,,,,,,,,,1,1,,,,,5,5,,,,,15,15,,,,,2,2,,,,,8,8,,,,,,,,,,,8,8,,,,,2,2,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,4,4,,,,,5,5,,,,,,,,,,,9,9,,,,,2,2,,,,,4,4,,,,,4,4,,,,,6,6,,,,,11,11,,,,,,,,,,,4,4,,,,,15,15,,,,,15,15,,,,,12,12,,,,,9,9,,,,,13,13,,,,,14,14,,,,,7,7,,,,,,,,,,,,,,,,,24,24,,,,,,,,,,,,,,,,,18,18,,,,,11,11,,,,,14,14,,,,,6,6,,,,,2,2,,,,,12,12,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,4,4,,,,,20,20,,,,,4,4,,,,,2,2,,,,,5,5,,,,,9,9,,,,,5,5,,,,,5,5,Big Ten,12,1,,,,,,,,3,3,Big Ten,12,0,
Notre Dame,ND,Fighting Irish,I-FBS,Independent,#002B5B,#DCB439,FALSE,,,8,8,Independent,6,2,0,9,9,,,,,5,5,,,,,13,13,,,,,,,,,,,3,3,,,,,6,6,,,,,1,1,,,,,9,9,,,,,9,9,,,,,1,1,,,,,1,1,,,,,2,2,,,,,1,1,,,,,,,,,,,,,,,,,3,3,,,,,2,2,,,,,4,4,,,,,9,9,,,,,,,,,,,10,10,,,,,17,17,,,,,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,9,9,,,,,1,1,,,,,5,5,,,,,5,5,,,,,5,5,,,,,2,2,,,,,13,13,,,,,14,14,,,,,1,1,,,,,5,6,,,,,,,,,,,12,12,,,,,1,1,,,,,7,7,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,,,,,1,1,,,,,2,2,,,,,6,6,,,,,13,13,,,,,4,4,,,,,2,2,,,,,,,,,,,11,11,,,,,19,19,,,,,,,,,,,22,22,,,,,,,,,,,15,15,,,,,,,,,,,17,17,,,,,,,,,,,,,,,,,9,9,,,,,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,Independent,12,1,
Georgia,uga,Bulldogs,I-FBS,SEC,#FF0000,#000000,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,,,,,2,2,,,,,,,,,,,,,,,,,18,18,,,,,3,3,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,19,19,,,,,10,10,,,,,,,,,,,16,16,,,,,,,,,,,1,1,,,,,6,6,,,,,4,4,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,13,13,,,,,15,15,,,,,,,,,,,,,,,,,17,17,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,14,14,,,,,16,16,,,,,20,20,,,,,22,22,,,,,3,3,,,,,7,7,,,,,7,7,,,,,10,10,,,,,23,23,,,,,2,2,,,,,13,13,,,,,,,,,,,,,,,,,19,19,SEC,10,4,,5,5,SEC,12,2,
Texas A&M,TAMU,Aggies,I-FBS,SEC,#660000,#FFFFFF,FALSE,,,,,,,,,,,,,,,,,,,,,1,1,,,,,6,6,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,,,,,5,5,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,,,,,11,11,,,,,7,7,,,,,,,,,,,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,13,13,,,,,10,10,,,,,,,,,,,20,20,,,,,15,15,,,,,12,12,,,,,7,7,,,,,9,9,,,,,8,8,,,,,15,15,,,,,,,,,,,20,20,,,,,11,11,,,,,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,Big 12,9,4,,,,,,,,5,6,SEC,11,2,
Stanford,STAN,Cardinal,I-FBS,Pac-12,#990000,#FFFFFF,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,19,19,,,,,,,,,,,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,,,,,8,8,,,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,Pac-10,12,1,,7,7,Pac-12,11,2,,7,7,Pac-12,12,2,
South Carolina,SC,Gamecocks,I-FBS,SEC,#73000A,#FFFFFF,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,,,,,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,SEC,9,5,,9,9,SEC,11,2,,8,8,SEC,11,2,
Florida,UF,Gators,I-FBS,SEC,#FF4A00,#0021A5,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,,,,,14,14,,,,,19,19,,,,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,3,3,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,,,,,7,7,,,,,10,10,,,,,5,5,,,,,7,7,,,,,2,2,,,,,1,1,,,,,4,4,,,,,5,5,,,,,12,12,,,,,10,10,,,,,3,3,,,,,,,,,,,24,24,,,,,,,,,,,12,12,,,,,1,1,,,,,13,13,,,,,1,1,,,,,3,3,,,,,,,,,,,,,,,,,9,9,SEC,11,2,
Florida State,FSU,Seminoles,I-FBS,ACC,#540115,#CDC092,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,,,,,,,,,,,6,6,,,,,5,5,,,,,,,,,,,13,13,,,,,,,,,,,17,17,,,,,15,15,,,,,,,,,,,2,2,,,,,3,3,,,,,3,3,,,,,4,4,,,,,4,4,,,,,2,2,,,,,1,1,,,,,4,4,,,,,4,4,,,,,3,3,,,,,3,3,,,,,3,3,,,,,1,1,,,,,5,5,,,,,15,15,,,,,21,21,,,,,11,11,,,,,15,15,,,,,23,23,,,,,,,,,,,,,,,,,21,21,,,,,,,,,,,17,17,ACC,10,4,,23,23,ACC,9,4,,10,10,ACC,12,2,
